date,time,value
11.04.20,09:30:00,130.6155194
11.04.20,09:35:00,130.3989701
11.04.20,09:40:00,133.6825836
11.04.20,09:45:00,132.574495
11.04.20,09:50:00,133.0388827
11.04.20,09:55:00,132.6855609
11.04.20,10:00:00,136.2737503
11.04.20,10:05:00,139.4067042
11.04.20,10:10:00,140.7017708
11.04.20,10:15:00,140.6797816
11.04.20,10:20:00,142.9384315
11.04.20,10:25:00,140.9904855
11.04.20,10:30:00,144.8621216
11.04.20,10:35:00,144.5286255
11.04.20,10:40:00,144.2439102
11.04.20,10:45:00,145.2187124
11.04.20,10:50:00,146.8478097
11.04.20,10:55:00,148.7122021
11.04.20,11:00:00,150.0378291
11.04.20,11:05:00,150.8981831
11.04.20,11:10:00,151.825409
11.04.20,11:15:00,153.3463566
11.04.20,11:20:00,151.8955121
11.04.20,11:25:00,150.2957424
11.04.20,11:30:00,148.6751966
11.04.20,11:35:00,147.7982065
11.04.20,11:40:00,151.6922889
11.04.20,11:45:00,150.8727261
11.04.20,11:50:00,148.0227472
11.04.20,11:55:00,153.1424774
11.04.20,12:00:00,153.2047618
11.04.20,12:05:00,156.2429627
11.04.20,12:10:00,155.8750456
11.04.20,12:15:00,155.5968392
11.04.20,12:20:00,155.0821263
11.04.20,12:25:00,152.9260513
11.04.20,12:30:00,154.056856
11.04.20,12:35:00,154.5302588
11.04.20,12:40:00,154.7794528
11.04.20,12:45:00,155.1120541
11.04.20,12:50:00,154.7827671
11.04.20,12:55:00,157.8887097
11.04.20,13:00:00,158.3759633
11.04.20,13:05:00,168.8208192
11.04.20,13:10:00,164.0178334
11.04.20,13:15:00,161.9655835
11.04.20,13:20:00,158.3366969
11.04.20,13:25:00,157.8675707
11.04.20,13:30:00,158.6794433
11.04.20,13:35:00,156.7816845
11.04.20,13:40:00,157.4326484
11.04.20,13:45:00,157.2075269
11.04.20,13:50:00,156.7180518
11.04.20,13:55:00,156.6345158
11.04.20,14:00:00,158.5072751
11.04.20,14:05:00,161.944565
11.04.20,14:10:00,160.8164207
11.04.20,14:15:00,161.7908342
11.04.20,14:20:00,160.6993712
11.04.20,14:25:00,160.4422332
11.04.20,14:30:00,156.1833974
11.04.20,14:35:00,155.039054
11.04.20,14:40:00,157.0577407
11.04.20,14:45:00,155.0938579
11.04.20,14:50:00,154.6062644
11.04.20,14:55:00,156.932854
11.04.20,15:00:00,155.7645922
11.04.20,15:05:00,156.1722381
11.04.20,15:10:00,154.2899126
11.04.20,15:15:00,153.3676075
11.04.20,15:20:00,154.19628
11.04.20,15:25:00,154.042646
11.04.20,15:30:00,154.2003194
11.04.20,15:35:00,156.3848775
11.04.20,15:40:00,153.4082561
11.04.20,15:45:00,152.4434253
11.04.20,15:50:00,153.4292483
11.04.20,15:55:00,154.3271898
11.04.20,16:00:00,153.9428606
11.04.20,16:05:00,159.2109738
11.04.20,16:10:00,158.4943636
11.04.20,16:15:00,157.9396272
11.04.20,16:20:00,157.3509183
11.04.20,16:25:00,156.8501921
11.04.20,16:30:00,159.814984
11.04.20,16:35:00,159.3205919
11.04.20,16:40:00,158.9074439
11.04.20,16:45:00,156.5082147
11.04.20,16:50:00,157.8412298
11.04.20,16:55:00,161.3668784
11.04.20,17:00:00,166.5896809
11.04.20,17:05:00,171.6938808
11.04.20,17:10:00,173.2394709
11.04.20,17:15:00,169.7377167
11.04.20,17:20:00,167.1844305
11.04.20,17:25:00,163.0558008
11.04.20,17:30:00,162.8854193
11.04.20,17:35:00,161.7875416
11.04.20,17:40:00,161.7247742
11.04.20,17:45:00,162.6661673
11.04.20,17:50:00,162.3715706
11.04.20,17:55:00,163.466747
11.04.20,18:00:00,163.8241757
11.04.20,18:05:00,166.6893325
11.04.20,18:10:00,167.5294492
11.04.20,18:15:00,170.1551814
11.04.20,18:20:00,167.8295416
11.04.20,18:25:00,166.4225514
11.04.20,18:30:00,167.7390023
11.04.20,18:35:00,166.8455034
11.04.20,18:40:00,165.7163979
11.04.20,18:45:00,164.4951405
11.04.20,18:50:00,169.4916804
11.04.20,18:55:00,172.0298259
11.04.20,19:00:00,172.0537321
11.04.20,19:05:00,175.3629583
11.04.20,19:10:00,176.2277192
11.04.20,19:15:00,179.2163855
11.04.20,19:20:00,177.1545888
11.04.20,19:25:00,178.4745895
11.04.20,19:30:00,183.327048
11.04.20,19:35:00,184.3201468
11.04.20,19:40:00,185.9285613
11.04.20,19:45:00,191.5183787
11.04.20,19:50:00,190.1458974
11.04.20,19:55:00,192.6409827
11.04.20,20:00:00,195.527684
11.04.20,20:05:00,200.5832666
11.04.20,20:10:00,205.8051363
11.04.20,20:15:00,211.7255975
11.04.20,20:20:00,214.0835938
11.04.20,20:25:00,223.6809701
11.04.20,20:30:00,221.9886875
11.04.20,20:35:00,223.2582975
11.04.20,20:40:00,219.9826562
11.04.20,20:45:00,224.9035862
11.04.20,20:50:00,224.9066508
11.04.20,20:55:00,233.4788178
11.04.20,21:00:00,236.7960823
11.04.20,21:05:00,241.9588236
11.04.20,21:10:00,252.0816659
11.04.20,21:15:00,266.0239842
11.04.20,21:20:00,265.2901066
11.04.20,21:25:00,253.7221301
11.04.20,21:30:00,248.4918095
11.04.20,21:35:00,251.8721928
11.04.20,21:40:00,249.6235642
11.04.20,21:45:00,249.3458315
11.04.20,21:50:00,260.5207143
11.04.20,21:55:00,259.5476924
11.04.20,22:00:00,254.1373898
11.04.20,22:05:00,263.3965118
11.04.20,22:10:00,269.7432353
11.04.20,22:15:00,273.6853815
11.04.20,22:20:00,271.2219822
11.04.20,22:25:00,260.3071267
11.04.20,22:30:00,254.2983822
11.04.20,22:35:00,245.0189769
11.04.20,22:40:00,244.8276994
11.04.20,22:45:00,245.6396845
11.04.20,22:50:00,239.5540795
11.04.20,22:55:00,230.6839404
11.04.20,23:00:00,230.32585
11.04.20,23:05:00,226.5691655
11.04.20,23:10:00,224.5096667
11.04.20,23:15:00,219.7254592
11.04.20,23:20:00,214.1845063
11.04.20,23:25:00,212.4140011
11.04.20,23:30:00,206.6292992
11.04.20,23:35:00,202.9218871
11.04.20,23:40:00,201.4435058
11.04.20,23:45:00,194.40467
11.04.20,23:50:00,189.6994479
11.04.20,23:55:00,185.6384696
12.04.20,00:00:00,181.8968798
12.04.20,00:05:00,184.3284696
12.04.20,00:10:00,178.6734879
12.04.20,00:15:00,175.9685128
12.04.20,00:20:00,172.7428604
12.04.20,00:25:00,166.6018237
12.04.20,00:30:00,162.8191344
12.04.20,00:35:00,158.4331479
12.04.20,00:40:00,152.7900732
12.04.20,00:45:00,147.0061909
12.04.20,00:50:00,144.8061767
12.04.20,00:55:00,142.0457491
12.04.20,01:00:00,138.028106
12.04.20,01:05:00,137.9204318
12.04.20,01:10:00,135.3013625
12.04.20,01:15:00,130.3280472
12.04.20,01:20:00,125.9661317
12.04.20,01:25:00,123.0639034
12.04.20,01:30:00,122.1384797
12.04.20,01:35:00,120.1287473
12.04.20,01:40:00,115.8792342
12.04.20,01:45:00,111.9927981
12.04.20,01:50:00,109.242266
12.04.20,01:55:00,105.3372622
12.04.20,02:00:00,106.0765841
12.04.20,02:05:00,107.9862063
12.04.20,02:10:00,106.5103848
12.04.20,02:15:00,104.0117054
12.04.20,02:20:00,102.5112086
12.04.20,02:25:00,98.85692299
12.04.20,02:30:00,96.81448234
12.04.20,02:35:00,94.71147261
12.04.20,02:40:00,93.60912742
12.04.20,02:45:00,91.35004275
12.04.20,02:50:00,88.25267026
12.04.20,02:55:00,86.65109846
12.04.20,03:00:00,87.41018256
12.04.20,03:05:00,88.85125285
12.04.20,03:10:00,88.00177932
12.04.20,03:15:00,85.42448994
12.04.20,03:20:00,82.75769635
12.04.20,03:25:00,81.98269078
12.04.20,03:30:00,80.62617468
12.04.20,03:35:00,80.47574718
12.04.20,03:40:00,78.79387326
12.04.20,03:45:00,76.87731896
12.04.20,03:50:00,74.709775
12.04.20,03:55:00,72.87669136
12.04.20,04:00:00,72.58301558
12.04.20,04:05:00,73.82212974
12.04.20,04:10:00,72.67332305
12.04.20,04:15:00,70.70578977
12.04.20,04:20:00,70.65823613
12.04.20,04:25:00,68.94305174
12.04.20,04:30:00,68.47498514
12.04.20,04:35:00,69.67810595
12.04.20,04:40:00,68.51262987
12.04.20,04:45:00,65.87444318
12.04.20,04:50:00,64.51793575
12.04.20,04:55:00,63.96012504
12.04.20,05:00:00,63.16330142
12.04.20,05:05:00,64.08219506
12.04.20,05:10:00,63.70938774
12.04.20,05:15:00,62.68806834
12.04.20,05:20:00,62.89871249
12.04.20,05:25:00,61.85059533
12.04.20,05:30:00,60.48424565
12.04.20,05:35:00,60.4574589
12.04.20,05:40:00,59.75868638
12.04.20,05:45:00,58.28819617
12.04.20,05:50:00,57.47496858
12.04.20,05:55:00,57.61820004
12.04.20,06:00:00,58.40871923
12.04.20,06:05:00,62.25761168
12.04.20,06:10:00,62.08172878
12.04.20,06:15:00,61.01105262
12.04.20,06:20:00,60.48806105
12.04.20,06:25:00,60.5083181
12.04.20,06:30:00,61.36257561
12.04.20,06:35:00,61.19547396
12.04.20,06:40:00,60.90507292
